file	average nMDCG
collection-time\output-default-BM25Scorer-text_and_title.tsv	0.146666666667
collection-time\output-default-CountScorer-text_and_title.tsv	0.0311111111111
collection-time\output-default-TfIdfScorer-text_and_title.tsv	0.142222222222
collection-time\output-english-BM25Scorer-text_and_title.tsv	0.173333333333
collection-time\output-english-CountScorer-text_and_title.tsv	0.0266666666667
collection-time\output-english-TfIdfScorer-text_and_title.tsv	0.133333333333
collection-time\output-stopwords-BM25Scorer-text_and_title.tsv	0.173333333333
collection-time\output-stopwords-CountScorer-text_and_title.tsv	0.111111111111
collection-time\output-stopwords-TfIdfScorer-text_and_title.tsv	0.133333333333
