file	average nMDCG
collection-time\output-default-BM25Scorer-text_and_title.tsv	0.152758854312
collection-time\output-default-CountScorer-text_and_title.tsv	0.0223127780749
collection-time\output-default-TfIdfScorer-text_and_title.tsv	0.126337864727
collection-time\output-english-BM25Scorer-text_and_title.tsv	0.166961337172
collection-time\output-english-CountScorer-text_and_title.tsv	0.0206234724451
collection-time\output-english-TfIdfScorer-text_and_title.tsv	0.135177760192
collection-time\output-stopwords-BM25Scorer-text_and_title.tsv	0.165804948134
collection-time\output-stopwords-CountScorer-text_and_title.tsv	0.102614879574
collection-time\output-stopwords-TfIdfScorer-text_and_title.tsv	0.136243593377
