Stemmer	Scorer	Field	Average-R-Precision
default	CountScorer	text_and_title	0.0379537562209
english	BM25Scorer	title	0.0
default	TfIdfScorer	text_and_title	0.423597785788
english	CountScorer	text_and_title	0.035845322486
stopwords	TfIdfScorer	text_and_title	0.438634511012
stopwords	CountScorer	title	0.0
stopwords	TfIdfScorer	text	0.438634511012
default	BM25Scorer	text_and_title	0.517563110565
default	TfIdfScorer	title	0.0
stopwords	TfIdfScorer	title	0.0
english	BM25Scorer	text	0.551164181515
default	BM25Scorer	text	0.517563110565
english	CountScorer	text	0.035845322486
english	CountScorer	title	0.0
stopwords	BM25Scorer	title	0.0
stopwords	CountScorer	text	0.241658194156
english	TfIdfScorer	text_and_title	0.444658607398
default	BM25Scorer	title	0.0
default	TfIdfScorer	text	0.429621882173
english	TfIdfScorer	title	0.0
stopwords	CountScorer	text_and_title	0.241658194156
stopwords	BM25Scorer	text_and_title	0.538518794773
stopwords	BM25Scorer	text	0.538518794773
default	CountScorer	title	0.0
english	BM25Scorer	text_and_title	0.551164181515
default	CountScorer	text	0.0379537562209
english	TfIdfScorer	text	0.444658607398
