file	average nMDCG
collection-cran\output-default-BM25Scorer-text_and_title.tsv	0.288888888889
collection-cran\output-default-CountScorer-text_and_title.tsv	0.0266666666667
collection-cran\output-default-TfIdfScorer-text_and_title.tsv	0.231111111111
collection-cran\output-english-BM25Scorer-text_and_title.tsv	0.293333333333
collection-cran\output-english-CountScorer-text_and_title.tsv	0.0444444444444
collection-cran\output-english-TfIdfScorer-text_and_title.tsv	0.253333333333
collection-cran\output-stopwords-BM25Scorer-text_and_title.tsv	0.288888888889
collection-cran\output-stopwords-CountScorer-text_and_title.tsv	0.248888888889
collection-cran\output-stopwords-TfIdfScorer-text_and_title.tsv	0.24
