Stemmer	Scorer	Field	Average-R-Precision
default	BM25Scorer	text	0.23548681609
default	BM25Scorer	title	0.199856033046
default	CountScorer	text	0.0208634234496
default	CountScorer	title	0.0688040416489
default	TfIdfScorer	text	0.194332294763
default	TfIdfScorer	title	0.171236224253
english	BM25Scorer	text	0.257553385571
english	BM25Scorer	title	0.222961321237
english	CountScorer	text	0.0227134877997
english	CountScorer	title	0.077633718151
english	TfIdfScorer	text	0.208394823912
english	TfIdfScorer	title	0.172907398338
stopwords	BM25Scorer	text	0.251534289896
stopwords	BM25Scorer	title	0.221931540466
stopwords	CountScorer	text	0.12971461549
stopwords	CountScorer	title	0.196395514499
stopwords	TfIdfScorer	text	0.208188151723
stopwords	TfIdfScorer	title	0.171996522859
